Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,adjusted_demand
2018-01,ATL,SRQ,177,9.364161849710984,2.9190751445086707,0.022598870056497175,173.0,360.85,SRQ,405.06,112.825831817605
2018-01,ATL,STL,337,8.307926829268293,-1.1585365853658536,0.026706231454005934,328.0,360.85,STL,363.48,218.42722844075243
2018-01,ATL,STT,31,8.225806451612904,7.516129032258065,0.0,31.0,360.85,STT,366.83,20.60899339665824
2018-01,ATL,STX,20,10.75,-0.15,0.0,20.0,360.85,STX,389.65,13.14413480695322
2018-01,ATL,SYR,81,7.531645569620253,0.31645569620253167,0.024691358024691357,79.0,360.85,SYR,385.92,52.01652310570108
2018-01,ATL,TLH,112,3.44954128440367,-4.743119266055046,0.026785714285714284,109.0,360.85,TLH,540.39,66.60612653579247
2018-01,ATL,TPA,588,9.428571428571429,5.060975609756097,0.023809523809523808,574.0,360.85,TPA,308.88,393.1431834760951
2018-01,ATL,TRI,26,12.615384615384615,7.153846153846154,0.0,26.0,360.85,TRI,544.68,15.856018002657395
2018-01,ATL,TTN,17,-1.8125,-7.25,0.058823529411764705,16.0,360.85,TTN,132.4,12.070790979038307
2018-01,ATL,TUL,122,8.01639344262295,-2.877049180327869,0.0,122.0,360.85,TUL,394.23,79.99569265634939
2018-01,ATL,TUS,57,14.649122807017545,-5.017543859649122,0.0,57.0,360.85,TUS,391.47,37.426662812090385
2018-01,ATL,TYS,99,3.752577319587629,-3.1030927835051547,0.020202020202020204,97.0,360.85,TYS,448.12,61.93502734044951
2018-01,ATL,VPS,138,9.323529411764707,0.2867647058823529,0.014492753623188406,136.0,360.85,VPS,409.17,88.51461288350191
2018-01,ATL,XNA,55,6.074074074074074,-0.42592592592592593,0.01818181818181818,54.0,360.85,XNA,536.45,33.058195161600445
2018-01,ATW,ATL,31,7.290322580645161,-0.03225806451612903,0.0,31.0,446.46,ATL,360.85,19.80967229638797
2018-01,ATW,AZA,9,5.888888888888889,-2.0,0.0,9.0,446.46,AZA,149.67,6.4427191640492065
2018-01,ATW,LAS,9,3.2222222222222223,-9.11111111111111,0.0,9.0,446.46,LAS,240.35,6.126408512291772
2018-01,ATW,PIE,9,35.333333333333336,28.0,0.0,9.0,446.46,PIE,128.05,6.523016384506198
2018-01,ATW,SFB,9,-1.2222222222222223,-7.777777777777778,0.0,9.0,446.46,SFB,122.74,6.543044959322595
2018-01,AUS,ABQ,19,1.631578947368421,-5.526315789473684,0.0,19.0,341.51,ABQ,345.6,12.89543818850293
2018-01,AUS,ATL,303,5.873720136518771,2.583617747440273,0.033003300330033,293.0,341.51,ATL,360.85,197.31986695985873
2018-01,AUS,BNA,64,7.7936507936507935,0.5555555555555556,0.015625,63.0,341.51,BNA,350.04,42.66153312672247
2018-01,AUS,BOS,81,21.12,14.066666666666666,0.07407407407407407,75.0,341.51,BOS,328.21,51.36054832915596
2018-01,AUS,BWI,58,-1.4035087719298245,-7.175438596491228,0.017241379310344827,57.0,341.51,BWI,318.44,39.23211777657904
2018-01,AUS,CLE,9,-4.333333333333333,-11.444444444444445,0.0,9.0,341.51,CLE,319.8,6.190171800367559
